feature_name,importance
task_progression,0.11138414
walk_to_likelihood,0.07558689
stand_to_sit_likelihood,0.0573443
left_hip_angle,0.042883262
walk_from_likelihood,0.041683514
hip_extension_power,0.038887743
com_x,0.03681631
turn_second_likelihood,0.035326853
head_yaw,0.033832528
hip_y_velocity_smooth_30,0.028305689
progression_velocity,0.026646998
ankle_power,0.02178959
time_since_last_step,0.017735101
sit_to_stand_likelihood,0.016956618
left_knee_angle,0.014944898
weight_shift_x,0.014272867
knee_extension_power,0.013516396
turn_first_likelihood,0.013400714
turn_score_smooth_15,0.009373146
total_mechanical_energy,0.009287856
rotation_variation_5,0.009017024
hip_y_velocity_smooth_15,0.008593558
com_x_velocity,0.008519942
hip_rotation,0.008094349
left_ankle_angle,0.008085044
right_hip_angle,0.007934747
hip_rotation_velocity,0.007916716
com_y,0.007721489
turn_score_smooth_30,0.007694235
sustained_forward_movement,0.0074807224
turn_score_smooth_10,0.007011864
hip_height,0.0069978302
movement_complexity_smooth_30,0.006233714
potential_energy,0.006176374
hip_height_std_30,0.0061319876
com_y_velocity,0.0059314785
right_ankle_angle,0.0056566563
rotation_variation_15,0.0053139958
step_timing_variability,0.0052158963
anteroposterior_sway,0.0051103947
hip_x_velocity,0.00505041
turn_score_smooth_5,0.004994221
movement_complexity_smooth_15,0.004982085
torso_twist_velocity,0.0049641826
torso_angle,0.0049061803
body_sway,0.00490572
rotation_variation_10,0.004875358
mediolateral_sway,0.0046740556
forward_momentum_std_30,0.0045677745
forward_momentum,0.00454069
rotation_variation_30,0.004406435
hip_coordination,0.004403556
forward_momentum_std_10,0.0041952096
movement_complexity,0.004168322
shoulder_angle,0.0040891925
stride_length_variation,0.0040467377
movement_complexity_smooth_10,0.0040353774
rotational_energy,0.003987726
sustained_turning,0.0039474103
forward_momentum_std_15,0.0038880263
base_of_support_width,0.0038178246
base_of_support_length,0.003575154
step_frequency,0.0035727823
torso_angle_velocity,0.003403863
stability_margin,0.0033494474
ankle_distance,0.0033308365
axial_dissociation_velocity,0.0032633825
toe_distance,0.0032332167
right_knee_angle,0.003196213
turn_preparation_score,0.0031201215
heel_distance,0.0030735366
movement_complexity_smooth_5,0.0030352378
hip_y_velocity_smooth_10,0.002897102
com_acceleration,0.0028473984
ankle_coordination,0.0028408067
hip_height_std_15,0.0026486837
rheel_x_velocity,0.0025521491
axial_dissociation,0.0025227766
knee_coordination,0.002367786
weight_shift_y,0.0023458889
head_yaw_velocity,0.0023167632
kinetic_energy,0.0023007262
direction_change_magnitude,0.0022477293
torso_twist,0.002246041
hip_height_std_10,0.0022243944
vertical_momentum,0.002084464
hip_y_velocity_smooth_5,0.0019543765
forward_momentum_std_5,0.001933488
lheel_x_velocity,0.0019140127
total_body_momentum,0.0019118371
stride_asymmetry,0.0019118001
trunk_flexion_velocity,0.0018583693
postural_control,0.0018039481
hip_height_std_5,0.0017792783
lheel_y_velocity,0.0015850358
rotation_acceleration,0.0015223298
hip_y_acceleration,0.0014811424
sit_to_stand_power,0.0014679171
shoulder_rotation_velocity,0.001410415
forward_acceleration,0.0013922349
movement_jerk,0.0013802449
hip_y_velocity,0.0013673536
step_asymmetry,0.0013581767
eccentric_power,0.0012916694
rheel_y_velocity,0.0012780189
hip_horizontal_acceleration,0.0012699105
concentric_power,0.0011465872
hip_vertical_acceleration,0.001068248
sustained_vertical_movement,0.001057298
right_knee_velocity,0.0
left_knee_velocity,0.0
